Cluster;Size;Outliers
1;2844;0
2;28872;0
3;21279;0
4;8647;0
5;15511;0
6;1795;0
7;7216;0
8;14607;0
9;10484;0
10;1883;0
11;5350;0
12;3908;0
13;12702;0
14;6647;0
15;4953;0
16;934;0
17;7809;0
18;12354;0
19;1715;0
20;1350;0
21;8656;0
22;3651;0
23;1156;0
24;751;0
25;1347;0
26;1352;0
27;98;0
28;346;0
29;1045;0
30;2406;0
31;332;0
