Cluster;20;1;13;11;9;41;18;2;8;31;7;39;35;21;10;17;19;33;32;25;6;3;29;36;4;24;15;27;40;5;38;12;30;22;28;37;14;23;26;16;34
CD7negHLADRneg -> Basophils;3866;0;0;80.0;0;0;0;0;0;0;0;0;0;13.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.00;0;1.00;0;0;0;0;0;0
Lymphocytes -> B cells;0;15658;0;13.0;8.00;0;0;0;1.00;0;0;0;38.0;5.00;0;0;6.00;0;0;0;0;0;0;0;0;0;0;2.00;0;0;0;0;0;11.0;0;0;0;10.0;0;0;0
concat_1_8000.fcs -> Monocytes;0;1.00;20546;200;6.00;0;0;0;7.00;4.00;0;4368;158;0;4.00;0;1.00;0;1313;0;9.00;0;0;0;0;1.00;137;0;1.00;5.00;0;0;31.0;0;0;0;0;0;2.00;0;0
Lin -> DCs;0;664;3.00;2694;0;0;1.00;0;1.00;0;0;10.0;709;619;0;1.00;3.00;0;145;0;0;0;0;0;0;0;5.00;25.0;0;0;0;0;15.0;0;8.00;0;4.00;0;0;0;0
Lin -> CD7;0;6.00;1.00;3.00;4997;101;4432;2.00;3332;3272;0;0;0;120;10.0;1.00;966;39.0;3.00;7.00;2.00;0;243;0;0;2.00;0;0;8.00;1.00;0;0;0;0;0;0;0;0;2.00;0;0;0
Lymphocytes -> T cells;0;9.00;2.00;1.00;141;29731;104;23499;48.0;67.0;17790;0;37.0;0;7692;6511;61.0;5544;0;4297;4121;3827;44.0;1494;857;849;0;0;518;504;485;358;0;294;0;144;0;0;0;0;0
