Cluster;20;25;2;4;11;23;31;9;24;5;32;21;29;28;6;36;1;22;27;19;8;14;16;17;26;34;35;12;30;15;10;18;33;7;3;13
CD7negHLADRneg -> Basophils;3863;0;0;0;45.0;0;0;0;2.00;2.00;0;0;0;0;0;0;0;0;0;0;0;1.00;0;39.0;0;0;0;1.00;0;5.00;4.00;0;0;0;0;0
Lymphocytes -> B cells;0;14626;1.00;0;14.0;5.00;2.00;6.00;64.0;1.00;956;0;0;0;0;0;0;0;0;0;0;3.00;0;0;12.0;0;0;0;0;5.00;55.0;0;0;0;0;2.00
concat_1_8000.fcs -> Monocytes;0;1.00;23591;1.00;1.00;6.00;5.00;31.0;0;1219;2.00;0;0;1.00;1040;0;685;0;0;0;0;0;1.00;0;0;0;0;145;1.00;38.0;3.00;0;0;1.00;21.0;1.00
Lymphocytes -> T cells;2.00;11.0;0;88384;0;169;108;0;0;0;0;5551;25.0;4361;0;117;0;2282;1987;1368;31.0;0;1091;0;824;754;674;1.00;545;0;0;276;259;110;40.0;59.0
Lin -> DCs;0;679;28.0;0;2407;0;0;647;630;407;0;0;0;0;0;0;1.00;0;0;0;0;56.0;0;9.00;1.00;0;0;8.00;0;22.0;12.0;0;0;0;0;0
Lin -> CD7;1.00;5.00;1.00;50.0;1.00;8255;7391;1.00;117;6.00;0;7.00;785;5.00;0;581;0;82.0;0;3.00;208;4.00;0;0;0;0;8.00;0;0;2.00;9.00;6.00;0;16.0;1.00;5.00
