Cluster;Size;Outliers
1;16789;0
2;23516;0
3;3827;0
4;857;0
5;512;0
6;4142;0
7;17798;0
8;3405;0
9;5261;0
10;7716;0
11;3258;0
12;358;0
13;20554;0
14;1211;0
15;739;0
16;146;0
17;6564;0
18;4602;0
19;1162;0
20;3892;0
21;762;0
22;308;0
23;1333;0
24;856;0
25;4320;0
26;354;0
27;2420;0
28;4076;0
29;294;0
30;2146;0
31;3389;0
32;1498;0
33;5622;0
34;273;0
35;1096;0
36;1494;0
37;145;0
38;497;0
39;4392;0
40;530;0
41;29886;0
