Cluster;12;5;3;21;17;14;2;8;16;24;13;18;9;20;6;7;23;11;15;22;1;31;10;19;25;4;29;30;27;26;28
CD7negHLADRneg -> Basophils;3881;0;0;0;0;72.0;0;0;0;6.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.00;0;0;0;0;0
Lymphocytes -> B cells;0;14515;1.00;1.00;5.00;14.0;0;0;12.0;2.00;0;0;0;1184;0;0;1.00;0;0;0;0;0;0;0;0;3.00;0;0;13.0;0;1.00
concat_1_8000.fcs -> Monocytes;0;0;21226;5.00;6.00;3449;0;0;113;0;0;0;0;2.00;1792;8.00;0;17.0;0;0;0;0;0;0;1.00;35.0;0;140;0;0;0
Lin -> CD7;1.00;6.00;1.00;8303;7470;6.00;0;0;3.00;117;14.0;183;0;0;0;6.00;1081;12.0;0;7.00;1.00;321;0;0;5.00;1.00;1.00;0;4.00;7.00;0
Lin -> DCs;0;676;33.0;0;0;2836;0;0;669;621;0;0;0;2.00;3.00;0;0;0;0;0;0;0;0;0;52.0;0;10.0;5.00;0;0
Lymphocytes -> T cells;0;1.00;0;262;177;0;28867;14605;1.00;0;12653;12105;10479;0;0;7194;34.0;5307;4921;3607;2841;7.00;1883;1703;1338;2.00;1041;0;1.00;0;0
