Cluster;Size;Outliers
1;688;0
2;23631;0
3;64;0
4;88537;0
5;1727;0
6;1043;0
7;127;0
8;262;0
9;810;0
10;1922;0
11;2612;0
12;1010;0
13;78;0
14;6542;0
15;3597;0
16;1093;0
17;61;0
18;283;0
19;1397;0
20;3875;0
21;5565;0
22;2375;0
23;8599;0
24;821;0
25;15570;0
26;844;0
27;1995;0
28;4374;0
29;843;0
30;546;0
31;7544;0
32;1116;0
33;262;0
34;756;0
35;683;0
36;748;0
