Cluster;Size;Outliers
1;3554;0
2;3539;0
3;548;0
4;6110;0
5;1224;0
6;513;0
7;1768;0
8;7450;0
9;1742;0
10;7136;0
11;3126;0
12;528;0
13;2158;0
14;7482;0
15;13290;0
16;1310;0
17;2724;0
18;7849;0
19;1608;0
20;232;0
21;6403;0
22;13579;0
23;3095;0
24;4425;0
25;2070;0
26;15435;0
27;11340;0
28;9008;0
29;10438;0
30;7247;0
31;10027;0
32;2376;0
33;13954;0
34;3602;0
35;1004;0
36;4106;0
