Cluster;8;19;6;5;2;11;18;7;13;17;9;14;12;16;10;15;1;4;3
Lymphocytes -> B cells;1789;0;2.00;1.00;105;0;0;2.00;0;0;0;0;0;0;0;1.00;32.0;0;0
Lin -> CD7;0;1367;12.0;5.00;63.0;4.00;0;11.0;0;389;2.00;0;0;181;0;91.0;0;39.0;1.00
CD7negHLADRneg -> Basophils;0;0;295;2.00;164;0;0;2.00;0;0;0;0;0;0;0;0;0;0;0
concat_1_1000.fcs -> Monocytes;0;1.00;0;1505;1525;0;1.00;25.0;2.00;0;223;1.00;1.00;0;0;0;0;0;17.0
Lymphocytes -> T cells;1.00;57.0;0;1.00;47.0;3664;2910;0;2401;273;0;1521;1422;655;624;4.00;0;218;0
Lin -> DCs;22.0;0;63.0;119;165;0;0;114;0;0;105;0;0;0;0;0;0;0;7.00
