Cluster;Size;Outliers
1;58;0
2;2534;0
3;314;0
4;257;0
5;1636;0
6;372;0
7;1007;0
8;1825;0
9;365;0
10;625;0
11;3670;0
12;1423;0
13;2403;0
14;1522;0
15;101;0
16;842;0
17;685;0
18;2915;0
19;1446;0
