Cluster;Size;Outliers
1;2831;0
2;7;0
3;954;0
4;753;0
5;936;0
6;466;0
7;108;0
8;1141;0
9;93;0
10;267;0
11;1279;0
12;139;0
13;43;0
14;110;0
15;10322;0
16;705;0
17;1665;0
18;125;0
19;2056;0
