Cluster;Size;Outliers
1;3071;0
2;1955;0
3;2661;0
4;765;0
5;3186;0
6;4134;0
7;708;0
8;1100;0
9;1189;0
10;544;0
11;506;0
12;99;0
13;669;0
14;370;0
15;682;0
16;130;0
17;256;0
18;463;0
19;103;0
20;55;0
21;121;0
22;1047;0
23;186;0
