Cluster;4;3;8;15;11;7;2;12;1;6;14;13;5;9;10
CD7negHLADRneg -> Basophils;457;0;0;0;0;4.00;0;0;1.00;0;0;0;0;1.00;0
Lymphocytes -> B cells;0;1927;0;0;0;1.00;0;0;0;0;1.00;0;3.00;0;0
concat_1_1000.fcs -> Monocytes;0;0;3078;0;0;184;1.00;2.00;0;2.00;2.00;0;4.00;28.0;0
Lymphocytes -> T cells;0;5.00;0;10204;18.0;0;12.0;35.0;0;1453;1093;978;0;0;0
Lin -> CD7;0;1.00;1.00;14.0;916;1.00;616;596;14.0;0;5.00;0;0;0;1.00
Lin -> DCs;0;98.0;68.0;0;0;328;0;0;88.0;0;0;0;11.0;2.00;0
