Cluster;16;19;1;15;8;10;3;18;7;6;17;11;5;4;14;13;12;9;2
CD7negHLADRneg -> Basophils;457;0;0;0;0;2.00;0;0;0;0;0;3.00;0;0;0;0;1.00;0;0
Lymphocytes -> B cells;1.00;1901;0;0;0;2.00;1.00;21.0;1.00;0;4.00;1.00;0;0;0;0;0;0;0
concat_1_1000.fcs -> Monocytes;1.00;0;2826;4.00;1.00;0;0;0;9.00;424;0;8.00;0;0;0;0;28.0;0;0
Lymphocytes -> T cells;0;1.00;0;10283;47.0;0;26.0;0;0;0;1654;1.00;934;749;5.00;8.00;0;90.0;0
Lin -> CD7;1.00;1.00;1.00;23.0;1064;0;919;14.0;0;1.00;1.00;0;0;3.00;100;34.0;0;2.00;1.00
Lin -> DCs;0;90.0;2.00;0;0;252;0;89.0;83.0;34.0;0;43.0;0;0;0;0;2.00;0;0
