Cluster;18;1;2;9;22;10;6;5;3;19;12;8;4;16;15;11;14;17;13;21;7;23;20
CD7negHLADRneg -> Basophils;458;0;0;0;0;4.00;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0
concat_1_1000.fcs -> Monocytes;0;3066;0;1.00;0;191;0;3.00;0;0;3.00;0;0;0;0;0;0;1.00;28.0;0;7.00;1.00;0
Lymphocytes -> B cells;0;0;1820;0;1.00;1.00;0;0;0;1.00;1.00;0;0;105;0;0;0;0;0;0;2.00;1.00;0
Lin -> CD7;0;0;1.00;1120;1003;2.00;19.0;0;1.00;14.0;0;0;1.00;0;0;0;2.00;0;0;1.00;0;1.00;0
Lin -> DCs;0;2.00;89.0;0;0;322;0;0;0;88.0;82.0;0;0;0;0;0;0;0;7.00;0;5.00;0;0
Lymphocytes -> T cells;0;0;2.00;30.0;32.0;0;4110;3183;2658;0;0;1098;763;0;680;500;367;255;0;119;1.00;0;0
