Cluster;Size;Outliers
1;4885;0
2;16274;0
3;11006;0
4;1647;0
5;1070;0
6;322;0
7;1330;0
8;8335;0
9;6509;0
10;2665;0
11;16552;0
12;3106;0
13;1458;0
14;2010;0
15;8116;0
16;5310;0
17;5622;0
18;6434;0
19;7396;0
20;5653;0
21;517;0
22;3815;0
23;13373;0
24;17227;0
25;2946;0
26;15368;0
27;6406;0
28;11563;0
29;5042;0
30;1093;0
31;314;0
32;5224;0
33;16817;0
34;1159;0
35;3815;0
36;2386;0
37;14487;0
38;2748;0
