Cluster;12;6;1;26;24;20;15;4;3;14;19;17;25;27;22;21;9;13;8;7;5;16;32;10;11;23;29;18;31;34;2;28;33;30
CD7negHLADRneg -> Basophils;4703;0;0;0;0;84.0;1.00;0;0;0;0;0;5.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.00;0;0;0;0;0;0
Lymphocytes -> B cells;0;17965;1.00;5.00;2.00;17.0;0;0;0;0;6.00;0;6.00;0;0;1393;22.0;0;0;0;0;0;0;0;0;0;0;10.0;0;0;0;4.00;0;1.00
concat_1_10000.fcs -> Monocytes;0;4.00;20035;15.0;11.0;2670;10671;0;0;0;25.0;0;0;0;0;1.00;0;0;0;1.00;6.00;0;0;0;1.00;3.00;0;31.0;0;169;35.0;0;0;0
Lin -> CD7;2.00;4.00;0;9793;9668;6.00;1.00;0;10.0;50.0;1.00;0;130;1709;0;0;5.00;21.0;0;10.0;7.00;4.00;445;0;0;1.00;4.00;3.00;160;0;0;14.0;5.00;0
Lin -> DCs;0;921;60.0;1.00;0;3582;3.00;0;0;0;806;0;704;0;0;17.0;0;0;0;0;0;0;1.00;0;0;0;0;48.0;0;12.0;0;0;3.00;0
Lymphocytes -> T cells;0;2.00;0;97.0;218;0;0;25042;21236;18048;1.00;16529;0;45.0;9793;0;9096;7672;6286;5273;4933;3460;213;2524;2394;1629;1343;2.00;4.00;0;675;0;0;0

