Cluster;22;1;9;4;38;24;25;27;14;32;3;21;29;33;36;16;31;30;42;7;15;41;5;37;39;26;13;23;18;11;12;40;8;35;10;34;17;20;6;19;2;28
CD7negHLADRneg -> Basophils;4686;1.00;1.00;93.0;0;0;0;0;0;0;0;0;0;11.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0;0;0;1.00;0;3.00;0;0;0;0;0;0
Lymphocytes -> B cells;0;17764;1.00;16.0;0;2.00;0;0;2.00;0;37.0;0;0;5.00;0;1566;3.00;0;3.00;12.0;0;3.00;3.00;0;0;0;0;6.00;0;0;0;0;0;2.00;0;2.00;0;0;0;0;5.00;0
concat_1_10000.fcs -> Monocytes;0;9.00;24113;160;0;14.0;1.00;5.00;4.00;0;143;9.00;4359;0;2869;1.00;1750;0;1.00;3.00;0;1.00;6.00;0;10.0;0;0;3.00;147;1.00;12.0;4.00;0;0;0;31.0;0;0;0;22.0;0;0
Lin -> DCs;0;751;4.00;3287;0;0;0;0;1.00;0;878;0;3.00;697;7.00;170;295;0;1.00;7.00;0;0;0;0;1.00;0;0;0;2.00;0;0;0;0;24.0;0;20.0;0;10.0;0;0;0;0
Lymphocytes -> T cells;0;11.0;0;3.00;45543;167;30982;140;53.0;27933;37.0;11.0;0;0;0;1.00;0;182;6616;216;5517;4993;3018;2783;2468;42.0;1486;1027;0;583;567;561;550;0;509;0;311;0;205;0;0;0
Lin -> CD7;1.00;3.00;2.00;1.00;124;6208;48.0;4965;4920;1.00;0;3016;0;131;0;0;4.00;1134;2.00;1048;0;5.00;4.00;0;0;392;0;2.00;0;0;22.0;14.0;0;0;0;0;0;0;0;0;6.00;0
