Cluster;23;35;33;25;27;8;17;5;16;29;12;24;2;11;26;19;28;3;36;37;15;30;7;9;10;18;34;4;20;32;22;38;1;14;6;31;13;21
Lymphocytes -> B cells;12270;17.0;3.00;8.00;3.00;0;0;2.00;4211;47.0;1.00;0;0;0;0;13.0;0;0;0;1808;0;3.00;996;0;0;1.00;0;25.0;0;0;2.00;0;6.00;0;0;12.0;4.00;0
CD7negHLADRneg -> Basophils;0;3045;1.00;52.0;0;1.00;0;1023;0;0;0;0;0;0;0;16.0;0;0;0;655;0;1.00;0;0;0;0;0;0;0;0;0;0;2.00;0;0;0;1.00;0
concat_1_10000.fcs -> Monocytes;126;1.00;16724;539;5.00;8331;8.00;1.00;200;4813;7.00;4.00;3.00;2.00;2.00;56.0;3.00;4.00;0;480;2.00;534;47.0;4.00;1.00;3.00;0;1382;1.00;0;1.00;0;132;1.00;1.00;199;61.0;0
Lin -> DCs;511;632;67.0;2263;4.00;0;0;30.0;576;129;0;0;0;0;0;670;0;0;0;404;0;344;213;0;0;0;0;160;0;0;0;0;110;0;0;18.0;27.0;0
Lin -> CD7;10.0;108;1.00;5.00;6219;2.00;5471;9.00;5.00;1.00;2978;238;0;251;359;204;478;0;1678;187;0;3.00;1.00;0;1078;463;929;0;229;0;495;0;34.0;320;256;0;1.00;40.0
Lymphocytes -> T cells;295;6.00;3.00;0;110;0;102;2.00;203;1.00;72.0;16937;16265;16268;14978;12.0;11060;10997;698;7375;8110;0;30.0;6505;1519;5942;183;0;5405;5220;3283;2747;0;1674;41.0;0;0;472
