Cluster;22;28;4;2;9;31;18;30;5;8;29;10;21;38;23;7;34;17;25;6;19;26;32;15;27;36;35;1;12;33;14;11;24;16;13;20;37;3
CD7negHLADRneg -> Basophils;4684;0;1.00;0;22.0;0;0;0;0;0;3.00;0;0;0;0;0;0;75.0;0;0;0;0;0;2.00;0;0;0;0;2.00;0;0;8.00;0;0;0;0;0;0
Lymphocytes -> B cells;0;18077;0;0;17.0;4.00;1.00;2.00;2.00;13.0;67.0;0;0;1148;0;0;0;4.00;0;0;0;0;0;3.00;0;0;0;0;6.00;0;0;54.0;0;9.00;0;0;25.0;0
concat_1_10000.fcs -> Monocytes;0;4.00;26727;0;234;13.0;8.00;5.00;4568;37.0;0;0;1.00;1.00;0;1104;0;0;2.00;728;0;0;1.00;0;1.00;0;0;1.00;33.0;1.00;172;1.00;0;1.00;0;0;0;35.0
Lymphocytes -> T cells;0;12.0;0;100395;0;116;162;79.0;0;0;0;11280;8568;0;31.0;0;187;0;3611;0;2597;2545;1686;0;1012;879;843;809;1.00;736;0;0;331;0;298;284;22.0;31.0
Lin -> DCs;0;915;22.0;0;3256;0;0;0;3.00;824;718;0;0;0;0;96.0;1.00;187;0;0;0;0;0;67.0;0;0;0;0;34.0;0;6.00;13.0;0;14.0;0;0;2.00;0
Lin -> CD7;2.00;5.00;1.00;248;3.00;9081;6462;4525;0;1.00;129;0;5.00;0;850;0;677;0;6.00;1.00;0;0;0;1.00;0;0;7.00;0;3.00;1.00;1.00;22.0;7.00;9.00;2.00;4.00;0;0
