Cluster;Size;Outliers
1;812;0
2;100815;0
3;67;0
4;26762;0
5;4578;0
6;737;0
7;1223;0
8;1002;0
9;3736;0
10;11297;0
11;2321;0
12;4968;0
13;302;0
14;1252;0
15;7560;0
16;185;0
17;341;0
18;6780;0
19;2600;0
20;288;0
21;8580;0
22;4697;0
23;909;0
24;340;0
25;3628;0
26;2552;0
27;1016;0
28;19329;0
29;923;0
30;4667;0
31;9272;0
32;1688;0
33;739;0
34;926;0
35;853;0
36;881;0
37;49;0
38;1325;0
