Cluster;30;15;31;8;3;18;13;7;29;27;26;28;11;2;6;5;9;17;4;16;14;23;19;25;22;10;20;1;12;21;24
concat_1_5000.fcs -> Monocytes;10433;1,00;133;5,00;284;9,00;190;4008;0;2,00;2,00;300;1,00;34,0;2,00;31,0;1,00;0;1,00;1,00;889;0;268;1,00;0;0;61,0;23,0;1,00;152;36,0
CD7negHLADRneg -> Basophils;3,00;1486;0;0;20,0;0;0;0;512;0;0;320;0;9,00;0;0;0;0;0;0;0;0;0;0;0;0;1,00;0;0;0;0
Lymphocytes -> B cells;0;8,00;5593;1,00;4,00;1,00;2520;31,0;0;0;0;454;0;9,00;0;947;0;0;1,00;0;21,0;0;2,00;0;0;0;4,00;148;0;0;2,00
Lin -> CD7;4,00;46,0;9,00;4484;7,00;2876;10,0;3,00;3,00;184;0;193;247;193;0;0;110;676;874;0;0;0;0;349;273;192;29,0;0;115;0;0
Lin -> DCs;49,0;332;229;0;1110;0;276;63,0;17,0;0;0;99,0;0;435;0;128;0;0;0;0;107;0;130;0;0;0;50,0;38,0;0;9,00;10,0
Lymphocytes -> T cells;3,00;5,00;208;257;0;96,0;137;2,00;3,00;11655;10516;9526;9290;9,00;6917;37,0;5937;149;3536;3691;0;3219;0;2035;10,0;1135;2,00;3,00;8,00;0;1,00
