Cluster;7;3;11;18;19;1;2;5;22;13;27;6;10;15;9;26;21;12;14;20;29;16;4;23;25;17;24;31;8;28;30
CD7negHLADRneg -> Basophils;2308;0;0;0;0;38.0;0;0;0;0;4.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0;0
concat_1_5000.fcs -> Monocytes;0;15292;2.00;12.0;6.00;1425;1.00;0;11.0;0;0;0;0;0;0;1.00;0;1.00;1.00;0;0;1.00;0;1.00;1.00;16.0;0;82.0;16.0;0;0
Lymphocytes -> B cells;0;0;9020;1.00;1.00;11.0;0;0;4.00;0;2.00;0;0;686;11.0;0;0;0;0;0;0;0;0;0;0;0;1.00;0;5.00;4.00;0
Lin -> CD7;0;0;4.00;5034;4818;2.00;0;11.0;2.00;107;57.0;0;0;0;2.00;607;0;3.00;2.00;1.00;214;0;0;0;1.00;1.00;0;0;1.00;8.00;2.00
Lin -> DCs;0;14.0;406;0;0;1854;0;0;412;0;365;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;18.0;0;12.0;0;0
Lymphocytes -> T cells;0;0;4.00;162;88.0;0;15434;13555;0;8316;8.00;7140;4832;0;4467;20.0;3088;2557;2448;1855;2.00;1208;1010;886;668;639;0;0;0;0;0
