Cluster;Size;Outliers
1;3493;0
2;15442;0
3;15327;0
4;1012;0
5;13592;0
6;7140;0
7;2330;0
8;3756;0
9;4486;0
10;4834;0
11;9615;0
12;2567;0
13;8466;0
14;2474;0
15;771;0
16;1210;0
17;658;0
18;5259;0
19;5001;0
20;1858;0
21;3104;0
22;502;0
23;892;0
24;2086;0
25;670;0
26;651;0
27;439;0
28;1081;0
29;223;0
30;51;0
31;1010;0
