Cluster;22;27;8;23;28;1;2;30;17;6;16;12;31;18;13;9;3;19;10;20;25;5;4;24;15;26;21;11;14;7;29
CD7negHLADRneg -> Basophils;2295;0;0;0;35.0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;16.0;0;0;0;0;0;4.00;0;0;0;0
concat_1_5000.fcs -> Monocytes;0;15769;2.00;1.00;8.00;7.00;12.0;18.0;0;0;0;0;927;0;0;2.00;0;0;0;0;0;0;0;19.0;0;82.0;3.00;1.00;1.00;0;17.0
Lymphocytes -> B cells;0;1.00;9093;0;10.0;1.00;1.00;3.00;36.0;0;0;564;1.00;0;0;0;0;0;0;0;4.00;0;0;4.00;0;0;20.0;0;0;8.00;0
Lymphocytes -> T cells;0;0;6.00;51398;0;90.0;63.0;0;0;4298;4160;0;0;24.0;19.0;2572;61.0;1411;1280;1119;0;586;419;0;372;0;9.00;228;184;82.0;6.00
Lin -> DCs;0;9.00;405;0;1695;0;0;398;371;0;0;0;139;0;0;0;0;0;0;0;28.0;0;0;19.0;0;6.00;11.0;0;0;1.00;0
Lin -> CD7;0;1.00;4.00;118;0;4919;4485;1.00;58.0;2.00;2.00;0;0;446;434;3.00;377;0;0;2.00;1.00;0;4.00;2.00;0;0;13.0;0;5.00;0;0
