Cluster; Size; Outliers
1;221;0
2;3866;0
3;1465;0
4;4445;0
5;1173;0
6;6921;0
7;4132;0
8;4789;0
9;6056;0
10;1339;0
11;9557;0
12;131;0
13;3202;0
14;1047;0
15;1882;0
16;3695;0
17;861;0
18;3030;0
19;503;0
20;2474;0
21;211;0
22;303;0
23;3220;0
24;759;0
25;2405;0
26;10522;0
27;11872;0
28;12639;0
29;537;0
30;10506;0
31;6237;0
