Cluster;1;31;3;2;18;9;29;6;17;27;26;25;16;10;23;24;21;15;13;8;28;14;20;7;4;11;30;5;12;19;22
concat_1_5000.fcs -> Monocytes;14275;1.00;0;5.00;9.00;315;0;0;4.00;9.00;127;1.00;0;1.00;1341;0;2.00;1.00;664;0;2.00;0;3.00;15.0;0;83.0;5.00;5.00;0;0;1.00
Lymphocytes -> T cells;0;50829;0;3.00;162;2.00;7.00;0;120;6.00;33.0;0;0;5788;0;4264;3091;110;0;7.00;1191;1157;678;0;344;0;319;276;0;0;0
CD7negHLADRneg -> Basophils;0;0;1602;0;0;14.0;0;700;0;0;0;28.0;6.00;0;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0
Lymphocytes -> B cells;0;0;0;6069;5.00;14.0;3626;0;0;0;16.0;1.00;1.00;9.00;0;0;0;0;0;0;0;0;1.00;2.00;0;0;0;0;0;2.00;0
Lin -> CD7;0;83.0;0;1.00;5516;0;1.00;0;2466;2012;5.00;0;57.0;5.00;0;0;5.00;483;1.00;229;1.00;1.00;0;0;0;0;4.00;0;0;7.00;0
Lin -> DCs;1.00;0;0;285;0;1400;114;0;0;0;436;401;360;2.00;1.00;0;0;0;53.0;0;0;0;0;26.0;0;0;0;0;3.00;0;0
