Cluster;9;4;14;10;8;16;20;2;18;11;3;21;17;5;6;7;22;15;12;19;1;13
Lymphocytes -> B cells;2584;0;3,00;1,00;34,0;0;947;1,00;0;0;0;4,00;1,00;0;394;0;0;0;0;0;62,0;1,00
Lin -> CD7;0;2801;29,0;7,00;236;0;0;3,00;1,00;0;1,00;27,0;728;0;0;0;257;193;0;82,0;0;3,00
CD7negHLADRneg -> Basophils;0;0;616;2,00;119;0;0;228;0;0;2,00;4,00;0;0;0;0;0;0;0;0;0;0
concat_1_2000.fcs -> Monocytes;0;4,00;0;3569;2410;1,00;0;0;1,00;4,00;490;40,0;5,00;1,00;17,0;0;0;0;156;0;0;20,0
Lymphocytes -> T cells;0;102;0;1,00;357;8414;0;0;5487;5431;0;1,00;744;2949;11,0;2110;1249;6,00;0;423;0;0
Lin -> DCs;12,0;0;149;132;204;0;0;13,0;0;0;331;204;0;0;78,0;0;0;0;36,0;0;0;12,0
