Cluster;Size;Outliers
1;2569;0
2;180;0
3;193;0
4;3241;0
5;924;0
6;6266;0
7;485;0
8;2619;0
9;252;0
10;321;0
11;1933;0
12;1955;0
13;961;0
14;1064;0
15;276;0
16;99;0
17;1741;0
18;403;0
19;773;0
20;1562;0
21;20183;0
