Cluster;5;6;10;17;15;21;11;12;2;20;14;3;1;19;4;9;13;7;22;23;8;24;16;18
CD7negHLADRneg -> Basophils;958;0;0;0;11,0;0;0;0;0;0;1,00;0;0;0;0;0;0;0;0;0;0;1,00;0;0
Lymphocytes -> B cells;0;4017;0;0;3,00;0;0;0;0;2,00;2,00;0;0;1,00;0;0;0;0;0;0;2,00;0;0;5,00
concat_1_2000.fcs -> Monocytes;0;0;6230;5,00;430;2,00;0;1,00;0;1,00;0;0;1,00;0;0;0;1,00;0;1,00;0;7,00;36,0;2,00;1,00
Lin -> CD7;0;1,00;2,00;2107;2,00;1844;45,0;0;0;0;31,0;10,0;0;311;6,00;0;1,00;0;2,00;1,00;1,00;0;0;4,00
Lin -> DCs;0;164;4,00;0;680;0;0;0;0;161;148;0;0;0;0;0;0;0;0;0;10,0;4,00;0;0
Lymphocytes -> T cells;0;2,00;0;44,0;0;68,0;7964;4621;4211;0;0;2932;2197;6,00;1573;1294;960;733;312;239;0;0;129;0
