Cluster;8;17;2;1;10;19;13;6;9;3;16;18;15;21;7;14;12;4;11;22;5;20
CD7negHLADRneg -> Basophils;955;0;0;0;8,00;0;0;0;0;0;0;0;0;0;0;0;4,00;0;2,00;0;2,00;0
Lymphocytes -> B cells;0;3741;0;0;2,00;0;1,00;3,00;21,0;0;0;213;0;0;0;0;2,00;0;40,0;0;7,00;2,00
concat_1_2000.fcs -> Monocytes;0;0;5578;7,00;59,0;2,00;5,00;23,0;0;734;0;0;0;0;263;0;44,0;0;0;0;3,00;0
Lymphocytes -> T cells;0;1,00;0;22373;0;63,0;42,0;0;0;0;2289;0;1322;9,00;0;570;0;409;34,0;171;0;2,00
Lin -> DCs;0;160;3,00;0;648;0;0;161;147;0;0;0;0;0;20,0;0;21,0;0;11,0;0;0;0
Lin -> CD7;0;0;1,00;55,0;1,00;2045;2021;1,00;30,0;1,00;0;0;4,00;196;0;0;2,00;1,00;4,00;2,00;4,00;0
