Cluster;Size;Outliers
1;88;0
2;245;0
3;845;0
4;2943;0
5;2951;0
6;511;0
7;2113;0
8;4247;0
9;2625;0
10;3713;0
11;5440;0
12;239;0
13;662;0
14;797;0
15;207;0
16;8419;0
17;1514;0
18;5489;0
19;508;0
20;956;0
21;1970;0
22;1518;0
