Cluster;Size;Outliers
1;22458;0
2;5588;0
3;735;0
4;421;0
5;457;0
6;218;0
7;287;0
8;956;0
9;198;0
10;755;0
11;148;0
12;2738;0
13;2110;0
14;570;0
15;1327;0
16;2292;0
17;3967;0
18;244;0
19;2137;0
20;5;0
21;214;0
22;175;0
